Title,Location,Price,Area
Apartment Johannes Verhulststraat 14 2,            1071 NC Amsterdam (Museumkwartier)        ,"                €2,250 per month            ",75 m²
Apartment Kea Boumanstraat 148 C,            1095 MA Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €2,300 per month            ",120 m²
Apartment Beethovenstraat 82 3,            1077 JM Amsterdam (Apollobuurt)        ,"                €2,135 per month            ",100 m²
Apartment Valeriusterras 2,            1075 BK Amsterdam (Willemspark)        ,"                €2,450 per month            ",75 m²
Apartment Watteaustraat 20 2,            1077 ZM Amsterdam (Apollobuurt)        ,"                €3,000 per month            ",120 m²
Apartment Valeriusstraat,            1075 GC Amsterdam (Willemspark)        ,"                €5,500 per month            ",210 m²
Apartment Van Woustraat,            1074 AH Amsterdam (Nieuwe Pijp)        ,"                €2,150 per month            ",58 m²
Apartment Boeroestraat,            1095 WB Amsterdam (Indische Buurt Oost)        ,"                €2,250 per month            ",80 m²
Apartment Van Baerlestraat,            1071 BE Amsterdam (Museumkwartier)        ,"                €4,750 per month            ",200 m²
House Buiksloterdijk 433,            1034 ZA Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,950 per month            ",108 m²
Apartment Mary van der Sluisstraat 274,            1095 ME Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €2,750 per month            ",95 m²
Apartment Spui,            1012 WX Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,800 per month            ",63 m²
Apartment Biesboschstraat,            1078 MS Amsterdam (Scheldebuurt)        ,"                €2,250 per month            ",90 m²
Apartment Eerste Boomdwarsstraat,            1015 NC Amsterdam (Jordaan)        ,"                €2,450 per month            ",110 m²
House Pracanalaan,            1060 RC Amsterdam (Middelveldsche Akerpolder)        ,"                €2,995 per month            ",106 m²
Apartment Hageland 132 G,            1066 SB Amsterdam (Sloter-/Riekerpolder)        ,"                €1,275 per month            ",40 m²
Apartment Dijkgraafplein 283,            1069 ES Amsterdam (De Punt)        ,"                €1,700 per month            ",92 m²
Apartment Nicolaas Anslijnstraat 75,            1068 WR Amsterdam (Osdorp-Oost)        ,"                €1,500 per month            ",82 m²
Apartment Burgemeester Hogguerstraat 597,            1064 CW Amsterdam (Slotermeer-Zuidwest)        ,"                €1,650 per month            ",75 m²
Apartment President Steynstraat,            1091 NB Amsterdam (Transvaalbuurt)        ,"                €1,450 per month            ",60 m²
Apartment Waalstraat,            1078 BW Amsterdam (Scheldebuurt)        ,"                €2,900 per month            ",117 m²
Apartment Van Suchtelen van de Haarestraat,            1068 GV Amsterdam (Osdorp-Oost)        ,"                €2,250 per month            ",94 m²
Apartment Bos en Lommerplantsoen,            1055 AA Amsterdam (De Kolenkit)        ,"                €1,275 per month            ",30 m²
Apartment Cliffordstraat 8 2,            1051 GT Amsterdam (Staatsliedenbuurt)        ,"                €1,700 per month            ",50 m²
Apartment Amsteldijk,            1074 HR Amsterdam (Oude Pijp)        ,"                €1,950 per month            ",74 m²
Apartment Wamelstraat 75,            1106 DM Amsterdam (Gein)        ,"                €1,395 per month            ",55 m²
Apartment Groenburgwal,            1011 HW Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,750 per month            ",80 m²
Apartment Aaf Bouberstraat,            1065 LV Amsterdam (Slotervaart Zuid)        ,"                €1,850 per month            ",88 m²
Apartment Sarphatistraat 139 D,            1018 GD Amsterdam (Weesperbuurt/Plantage)        ,"                €2,350 per month            ",100 m²
Apartment Pieter Jacobszstraat,            1012 HL Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,750 per month            ",50 m²
